tconst,primaryTitle,Language,Country,plot,genres,lead_actors_ids,startYear,runtimeMinutes,numVotes,averageRating,budget,BoxOffice
tt26252716,Vena,Hindi,India,"Vedaa Berwa, aDalitlaw student, lives with her family inBarmer, Rajasthan, where Jitendar Pratap Singh is the chief of 150 villages. Vedaa is always being abused and tortured by the upper-caste people due tocaste discrimination. Vedaa learns that Jitendra's brother Suyog Pratap Singh has organized a boxing club at the college and decides to train herself inboxingto protect her family.",['Drama'],"['nm4940747', ' nm9396616', ' nm2337337', ' nm4313580', ' nm5677939']",2024,115,226,7.2,7.2,3.205
tt0328589,Under the Tuscan Sun,English  Italian,United States,"Frances Mayes is aSan Franciscowriter whose seemingly perfect life takes an unexpected turn when she learns that her husband has been cheating on her. The husband, who had been working on his writing and had no income, ironically, was allowed to petition for alimony. As a one-time settlement, however, the agreement was for Frances toquitclaimher 1/2 ownership of the home. The divorce—and the loss of her house to her ex-husband and his much-younger, pregnant new partner—leaves her depressed and unable to write. Her best friend Patti, who is expecting a child with her girlfriend Grace, is worried that Frances might never recover from the traumatic divorce. She urges Frances to take an Italian vacation toTuscanyusing the ticket she purchased before she became pregnant. At first, Frances refuses, but after another depressing day in her gloomy temporary apartment, she decides that it's a good idea to get away for a while.","['Comedy', 'Drama', 'Romance']","['nm0000178', ' nm0100556', ' nm0644897', ' nm0242026', ' nm0516020']",2003,113,65153,6.8,18.0,58.9
tt1965272,Velayudham,Tamil,India,"Bharathi, a young journalist, and her two friends investigate a series ofterrorist attackswhich have taken place inChennaiand also other illegal activities likehuman trafficking. One night, Bharathi and her friends are caught video-recording illicit activities happening in a secluded house by a group of thugs, where they attempt to flee from them. While Bharathi's friends are murdered, Bharathi manages to escape despite being stabbed by one of the thugs. After the attack on Bharathi and her friends, the thugs' vehicle explodes due to a small mishap when a cigarette falls over petrol packets stored in the vehicle, killing the thugs.",['Action'],"['nm0897201', ' nm1299510', ' nm1394426', ' nm3674752', ' nm1962272']",2011,186,14315,6.1,5.4,7.2
tt8769146,Union of Salvation,Russian,Russia,"In 1808, Emperor Napoleon I visits a boarding house in Paris, where he is presented with a cadre of promising students. One of the students, Sergey Muravyov-Apostol, the son of a Russian diplomat, impresses him with his liberal views.","['Action', 'Adventure', 'Drama']","['nm3541687', ' nm2798316', ' nm10013114', ' nm1485889', ' nm2420643']",2019,136,1801,5.2,16.1,11.4
tt1976009,Victor Frankenstein,English,United States,"In 1860s London, medical student Victor Frankenstein attends a circus. He witnesses a hunchbacked clown use advanced anatomical knowledge to help save an injured aerialist, Lorelei. Intrigued, Victor rescues the abused hunchback from the circus, cures him of his deformity, and gives him the name ""Igor Straussman""—taken from his absent roommate. Aided by Igor, Victor continues experiments to artificially create life, drawing the attention of Inspector Roderick Turpin, who views his work as heretical.","['Drama', 'Horror', 'Sci-Fi']","['nm0705356', ' nm0564215', ' nm3726887', ' nm0778831', ' nm0916037']",2015,110,63626,6.0,40.0,34.2
tt0325534,Unborn But Forgotten,Korean,South Korea,"TV producer Han Su-jin investigates a string of mysterious deaths involving pregnant women after they have visited a website. Out of curiosity Han visits the website; later she starts to have bizarre hallucinations, suggesting that her death may be imminent. Han hires a detective named Choi to help her solve the mystery.","['Horror', 'Mystery']","['nm0497249', ' nm0432550', ' nm1948308', ' nm1276205', ' nm1767958']",2002,95,500,4.5,2.0,1.156
tt19838634,Ulajh,Hindi,India,"Suhana Bhatia is anIFSofficer, belonging to an illustrious family of diplomats. Her father is about to be made thePermanent Representative of India to the United Nations, and she is promoted to the role ofDeputy commissionerat theIndian High Commissionin theUnited Kingdom. Suhana moves toLondon, where she is chauffeured around by her driver and ex-policeman, Salim.","['Crime', 'Drama', 'Thriller']","['nm9427099', ' nm3761132', ' nm3761132', ' nm7733137', ' nm2738962']",2024,150,25608,5.9,4.2,1.326
tt0796307,Under the Same Moon,Spanish English,Mexico United States,"Rosario, a single mother,illegally crossed the US-Mexico borderto Los Angeles, leaving behind her young son, Carlitos, in his Mexican hometown with his ailing grandmother. As a part of their weekly calls, Rosario describes the area around the payphone to Carlitos in detail. On his ninth birthday, after his grandmother unexpectedly dies in her sleep, Carlitos learns that his aunt and uncle are trying to take custody of him for his mother'sremittances.","['Adventure', 'Drama']","['nm0220240', ' nm0215487', ' nm1739844', ' nm0953197', ' nm0758345']",2007,106,7923,7.3,1.7,23.3
tt0039935,Undercover Maisie,English,United States,"While moving to New York for work, Maisie Ravier loses her valuables to aconfidence woman. When Maisie accurately and thoroughly describes the woman to the police, Lieutenant Paul Scott from the bunco squad is impressed at her observation skills. Paul convinces his boss, Captain Mead, to place Maisie in police training as he wants to use Maisie as an undercover agent to solve some of their unsolved frauds around the city.","['Action', 'Comedy', 'Crime']","['nm0815433', ' nm0625167', ' nm0200026', ' nm0000748', ' nm0839069']",1947,90,362,6.3,0.805,1.024
tt2976920,Violette,French,"France, Belgium","During the last years ofWorld War II,Violette Leduclives withMaurice Sachs, who doesn't love her but who does encourage her to write. She seeks outSimone de Beauvoirand eventually presents her with a draft of her first book. De Beauvoir rewards Violette's trust by reading and commenting on the book and by introducing her to contemporary intellectual iconsJean-Paul Sartre,Jean GenetandAlbert Camus. In 1964, the success of Violette Leduc's autobiographicalbestsellerLa Bâtardeenables her to earn a living from her writing.","['Biography', 'Drama', 'Romance']","['nm0222922', ' nm0452161', ' nm0332709', ' nm0383153', ' nm0094782']",2013,139,2312,6.8,6.0,1.6
